date,total_confirm,total_suspect,total_heal,total_dead,total_severe,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,name
2020-03-28,67801,0,62565,3182,0,0,,467,5,,,湖北
2020-03-29,67801,0,62882,3186,0,0,,317,4,,,湖北
2020-03-30,67801,0,63153,3187,0,0,,271,1,,,湖北
2020-03-31,67802,0,63326,3193,0,1,,173,6,,,湖北
2020-01-23,53,17,0,0,0,53,,0,0,,,广东
2020-01-24,78,18,2,0,0,25,,2,0,,,广东
2020-01-25,98,40,2,0,0,20,,0,0,,,广东
2020-01-26,146,54,2,0,0,48,,0,0,,,广东
2020-01-27,188,73,2,0,0,42,,0,0,,,广东
2020-01-28,241,122,5,0,0,53,,3,0,,,广东
2020-01-29,311,137,8,0,0,70,,3,0,,,广东
2020-01-30,393,151,11,0,0,82,,3,0,,,广东
2020-01-31,520,126,11,0,0,127,,0,0,,,广东
2020-02-01,604,157,12,0,0,84,,1,0,,,广东
2020-02-02,683,205,15,0,0,79,,3,0,,,广东
2020-02-03,797,180,20,0,0,114,,5,0,,,广东
2020-02-04,870,136,32,0,0,73,,12,0,,,广东
2020-02-05,944,0,49,0,0,74,0.0,17,0,,,广东
2020-02-06,1018,170,68,1,0,74,71.0,19,1,,,广东
2020-02-07,1075,170,97,1,0,57,0.0,29,0,,,广东
2020-02-08,1120,0,125,1,0,45,,28,0,,,广东
2020-02-09,1151,0,143,1,0,31,,18,0,,,广东
2020-02-10,1177,0,181,1,0,26,0.0,38,0,,,广东
2020-02-11,1219,0,241,1,0,42,,60,0,,,广东
2020-02-12,1241,0,284,2,0,22,0.0,43,1,,,广东
2020-02-13,1261,0,332,2,0,20,,48,0,,,广东
2020-02-14,1294,0,386,2,0,33,,54,0,,,广东
2020-02-15,1316,0,436,2,0,22,,50,0,,,广东
2020-02-16,1322,0,473,4,0,6,,37,2,,,广东
2020-02-17,1328,0,530,4,0,6,,57,0,,,广东
2020-02-18,1331,0,571,5,0,3,,41,1,,,广东
2020-02-19,1332,0,619,5,0,1,,48,0,,,广东
2020-02-20,1333,0,664,5,0,1,,45,0,,,广东
2020-02-21,1339,0,720,5,0,6,,56,0,,,广东
2020-02-22,1342,0,740,6,0,3,,20,1,,,广东
2020-02-23,1345,0,772,6,0,3,,32,0,,,广东
2020-02-24,1347,0,805,7,0,2,0.0,33,1,,,广东
2020-02-25,1347,0,841,7,0,0,,36,0,,,广东
2020-02-26,1347,0,873,7,0,0,,32,0,,,广东
2020-02-27,1348,0,919,7,0,1,,46,0,,,广东
2020-02-28,1349,0,972,7,0,1,,53,0,,,广东
2020-02-29,1349,0,1009,7,0,0,,37,0,,,广东
2020-03-01,1350,0,1034,7,0,1,,25,0,,,广东
2020-03-02,1350,0,1081,7,0,0,0.0,47,0,,,广东
2020-03-03,1350,0,1129,7,0,0,,48,0,,,广东
2020-03-04,1350,0,1159,7,0,0,,30,0,,,广东
2020-03-05,1351,0,1209,7,0,1,,50,0,,,广东
2020-03-06,1352,0,1233,7,0,1,,24,0,,,广东
2020-03-07,1352,0,1250,7,0,0,,17,0,,,广东
2020-03-08,1352,0,1260,8,0,0,,10,1,,,广东
2020-03-09,1353,0,1270,8,0,1,,10,0,,,广东
2020-03-10,1353,0,1282,8,0,0,,12,0,,,广东
2020-03-11,1356,0,1288,8,0,3,,6,0,,,广东
2020-03-12,1356,0,1296,8,0,0,,8,0,,,广东
2020-03-13,1356,0,1299,8,0,0,,3,0,,,广东
2020-03-14,1357,0,1303,8,0,1,,4,0,,,广东
2020-03-15,1361,0,1306,8,0,4,,3,0,,,广东
2020-03-16,1364,0,1307,8,0,3,,1,0,,,广东
2020-03-17,1369,0,1312,8,0,5,,5,0,,,广东
2020-03-18,1378,0,1318,8,0,9,0.0,6,0,0.0,,广东
2020-03-19,1392,0,1322,8,0,14,,4,0,,,广东
2020-03-20,1399,0,1325,8,0,7,,3,0,,,广东
2020-03-21,1407,0,1329,8,0,8,,4,0,,,广东
2020-03-22,1413,0,1332,8,0,6,,3,0,,,广东
2020-03-23,1428,0,1333,8,0,15,,1,0,,,广东
2020-03-24,1433,0,1334,8,0,5,,1,0,,,广东
2020-03-25,1444,0,1336,8,0,11,,2,0,,,广东
2020-03-26,1456,0,1337,8,0,12,,1,0,,,广东
2020-03-27,1467,0,1341,8,0,11,,4,0,,,广东
2020-03-28,1475,0,1349,8,0,8,,8,0,,,广东
2020-03-29,1484,0,1351,8,0,9,,2,0,,,广东
2020-03-30,1490,0,1353,8,0,6,,2,0,,,广东
2020-03-31,1501,0,1357,8,0,11,,4,0,,,广东
2020-01-21,1,0,0,0,0,1,,0,0,,,河南
2020-01-22,5,0,0,0,0,4,,0,0,,,河南
2020-01-23,5,0,0,0,0,0,0.0,0,0,,,河南
2020-01-24,5,0,0,0,0,0,0.0,0,0,,,河南
2020-01-25,83,165,0,1,0,78,,0,1,,,河南
2020-01-26,128,212,0,1,0,45,,0,0,,,河南
2020-01-27,168,266,0,1,0,40,,0,0,,,河南
2020-01-28,206,411,1,2,0,38,,1,1,,,河南
2020-01-29,278,584,2,2,0,72,,1,0,,,河南
2020-01-30,352,735,3,2,0,74,,1,0,,,河南
2020-01-31,422,751,3,2,0,70,,0,0,,,河南
2020-02-01,493,754,8,2,0,71,,5,0,,,河南
2020-02-02,566,760,14,2,0,73,,6,0,,,河南
2020-02-03,675,678,20,2,0,109,,6,0,,,河南
2020-02-04,764,693,41,2,0,89,,21,0,,,河南
2020-02-05,851,0,54,3,0,87,0.0,13,1,,,河南
2020-02-06,914,654,68,3,0,63,307.0,14,0,,,河南
2020-02-07,981,654,97,4,0,67,0.0,29,1,,,河南
2020-02-08,1033,0,131,6,0,52,,34,2,,,河南
2020-02-09,1073,0,174,6,0,40,0.0,43,0,,,河南
2020-02-10,1105,0,198,7,0,32,,24,1,,,河南
2020-02-11,1135,0,231,8,0,30,,33,1,,,河南
2020-02-12,1169,0,258,10,0,34,,27,2,,,河南
2020-02-13,1184,0,311,11,0,15,,53,1,,,河南
2020-02-14,1212,0,356,13,0,28,,45,2,,,河南
2020-02-15,1231,0,404,13,0,19,,48,0,,,河南
2020-02-16,1246,0,438,16,0,15,0.0,34,3,,,河南
2020-02-17,1257,0,505,19,0,11,0.0,67,3,,,河南
2020-02-18,1261,0,552,19,0,4,,47,0,,,河南
2020-02-19,1265,0,614,19,0,4,,62,0,,,河南
2020-02-20,1267,0,717,19,0,2,,103,0,,,河南
2020-02-21,1270,0,802,19,0,3,,85,0,,,河南
2020-02-22,1271,0,861,19,0,1,,59,0,,,河南
2020-02-23,1271,0,930,19,0,0,,69,0,,,河南
2020-02-24,1271,0,989,19,0,0,,59,0,,,河南
2020-02-25,1271,0,1023,19,0,0,,34,0,,,河南
2020-02-26,1272,0,1062,20,0,1,,39,1,,,河南
2020-02-27,1272,0,1103,20,0,0,,41,0,,,河南
2020-02-28,1272,0,1161,21,0,0,,58,1,,,河南
2020-02-29,1272,0,1185,22,0,0,,24,1,,,河南
2020-03-01,1272,0,1205,22,0,0,,20,0,,,河南
2020-03-02,1272,0,1223,22,0,0,,18,0,,,河南
2020-03-03,1272,0,1234,22,0,0,,11,0,,,河南
2020-03-04,1272,0,1239,22,0,0,,5,0,,,河南
2020-03-05,1272,0,1241,22,0,0,,2,0,,,河南
2020-03-06,1272,0,1243,22,0,0,,2,0,,,河南
2020-03-07,1272,0,1246,22,0,0,,3,0,,,河南
2020-03-08,1272,0,1247,22,0,0,,1,0,,,河南
2020-03-09,1272,0,1247,22,0,0,,0,0,,,河南
2020-03-10,1272,0,1249,22,0,0,,2,0,,,河南
2020-03-11,1273,0,1249,22,0,1,,0,0,,,河南
2020-03-12,1273,0,1249,22,0,0,,0,0,,,河南
2020-03-13,1273,0,1249,22,0,0,,0,0,,,河南
2020-03-14,1273,0,1250,22,0,0,,1,0,,,河南
2020-03-15,1273,0,1250,22,0,0,,0,0,,,河南
2020-03-16,1273,0,1250,22,0,0,,0,0,,,河南
2020-03-17,1273,0,1250,22,0,0,,0,0,,,河南
2020-03-18,1273,0,1250,22,0,0,,0,0,,,河南
2020-03-19,1273,0,1250,22,0,0,,0,0,,,河南
2020-03-20,1273,0,1250,22,0,0,,0,0,,,河南
2020-03-21,1273,0,1250,22,0,0,,0,0,,,河南
2020-03-22,1274,0,1250,22,0,1,,0,0,,,河南
2020-03-23,1274,0,1250,22,0,0,,0,0,,,河南
2020-03-24,1274,0,1250,22,0,0,,0,0,,,河南
2020-03-25,1275,0,1250,22,0,1,,0,0,,,河南
2020-03-26,1275,0,1250,22,0,0,,0,0,,,河南
2020-03-27,1275,0,1251,22,0,0,,1,0,,,河南
2020-03-28,1276,0,1251,22,0,1,,0,0,,,河南
2020-03-29,1276,0,1251,22,0,0,,0,0,,,河南
2020-03-30,1276,0,1251,22,0,0,,0,0,,,河南
2020-03-31,1276,0,1251,22,0,0,,0,0,,,河南
2020-01-24,62,27,1,0,0,62,,1,0,,,浙江
2020-01-25,104,20,1,0,0,42,,0,0,,,浙江
2020-01-26,128,63,1,0,0,24,,0,0,,,浙江
2020-01-27,173,115,1,0,0,45,,0,0,,,浙江
2020-01-28,296,101,3,0,0,123,,2,0,,,浙江
2020-01-29,428,117,4,0,0,132,,1,0,,,浙江
2020-01-30,537,154,10,0,0,109,,6,0,,,浙江
2020-01-31,599,202,15,0,0,62,,5,0,,,浙江
2020-02-01,661,207,23,0,0,62,,8,0,,,浙江
2020-02-02,724,201,36,0,0,63,,13,0,,,浙江
2020-02-03,829,258,48,0,0,105,,12,0,,,浙江
2020-02-04,895,299,63,0,0,66,,15,0,,,浙江
2020-02-05,954,0,81,0,0,59,0.0,18,0,,,浙江
2020-02-06,1006,422,98,0,0,52,236.0,17,0,,,浙江
2020-02-07,1048,0,127,0,0,42,0.0,29,0,,,浙江
2020-02-08,1063,0,173,0,0,15,,46,0,,,浙江
2020-02-09,1092,0,200,0,0,29,,27,0,,,浙江
2020-02-10,1117,0,251,0,0,25,,51,0,,,浙江
2020-02-11,1131,0,279,0,0,14,,28,0,,,浙江
2020-02-12,1145,0,327,0,0,14,,48,0,,,浙江
2020-02-13,1155,0,367,0,0,10,,40,0,,,浙江
2020-02-14,1162,0,409,0,0,7,,42,0,,,浙江
2020-02-15,1167,0,437,0,0,5,,28,0,,,浙江
2020-02-16,1171,0,470,0,0,4,,33,0,,,浙江
2020-02-17,1172,0,514,0,0,1,,44,0,,,浙江
2020-02-18,1173,0,544,0,0,1,,30,0,,,浙江
2020-02-19,1175,0,609,0,0,2,,65,0,,,浙江
2020-02-20,1203,0,647,1,0,28,,38,1,,,浙江
2020-02-21,1205,0,694,1,0,2,,47,0,,,浙江
2020-02-22,1205,0,729,1,0,0,,35,0,,,浙江
2020-02-23,1205,0,765,1,0,0,0.0,36,0,,,浙江
2020-02-24,1205,0,794,1,0,0,,29,0,,,浙江
2020-02-25,1205,0,814,1,0,0,,20,0,,,浙江
2020-02-26,1205,0,881,1,0,0,,67,0,,,浙江
2020-02-27,1205,0,943,1,0,0,,62,0,,,浙江
2020-02-28,1205,0,987,1,0,0,,44,0,,,浙江
2020-02-29,1205,0,1027,1,0,0,,40,0,,,浙江
2020-03-01,1206,0,1050,1,0,1,,23,0,,,浙江
2020-03-02,1213,0,1086,1,0,7,,36,0,,,浙江
2020-03-03,1213,0,1107,1,0,0,,21,0,,,浙江
2020-03-04,1215,0,1130,1,0,2,,23,0,,,浙江
2020-03-05,1215,0,1153,1,0,0,,23,0,,,浙江
2020-03-06,1215,0,1161,1,0,0,,8,0,,,浙江
2020-03-07,1215,0,1169,1,0,0,,8,0,,,浙江
2020-03-08,1215,0,1182,1,0,0,,13,0,,,浙江
2020-03-09,1215,0,1190,1,0,0,,8,0,,,浙江
2020-03-10,1215,0,1205,1,0,0,,15,0,,,浙江
2020-03-11,1227,0,1209,1,0,12,,4,0,,,浙江
2020-03-12,1227,0,1209,1,0,0,,0,0,,,浙江
2020-03-13,1227,0,1211,1,0,0,,2,0,,,浙江
2020-03-14,1231,0,1211,1,0,4,,0,0,,,浙江
2020-03-15,1231,0,1213,1,0,0,,2,0,,,浙江
2020-03-16,1232,0,1216,1,0,1,0.0,3,0,0.0,,浙江
2020-03-17,1232,0,1216,1,0,0,,0,0,,,浙江
2020-03-18,1233,0,1217,1,0,1,0.0,1,0,0.0,,浙江
2020-03-19,1234,0,1219,1,0,1,,2,0,,,浙江
2020-03-20,1236,0,1219,1,0,2,,0,0,,,浙江
2020-03-21,1237,0,1219,1,0,1,,0,0,,,浙江
2020-03-22,1238,0,1221,1,0,1,,2,0,,,浙江
2020-03-23,1240,0,1221,1,0,2,,0,0,,,浙江
2020-03-24,1241,0,1221,1,0,1,,0,0,,,浙江
2020-03-25,1243,0,1222,1,0,2,,1,0,,,浙江
2020-03-26,1247,0,1222,1,0,4,,0,0,,,浙江
2020-03-27,1251,0,1225,1,0,4,,3,0,,,浙江
2020-03-28,1254,0,1225,1,0,3,,0,0,,,浙江
2020-03-29,1255,0,1225,1,0,1,,0,0,,,浙江
2020-03-30,1257,0,1226,1,0,2,,1,0,,,浙江
2020-03-31,1257,0,1226,1,0,0,0.0,0,0,0.0,,浙江
2020-01-22,4,10,0,0,0,4,,0,0,,,湖南
2020-01-23,9,25,0,0,0,5,,0,0,,,湖南
2020-01-24,24,35,0,0,0,15,,0,0,,,湖南
2020-01-25,69,25,0,0,0,45,,0,0,,,湖南
2020-01-26,100,42,0,0,0,31,,0,0,,,湖南
2020-01-27,143,52,0,0,0,43,,0,0,,,湖南
2020-01-28,221,85,0,0,0,78,,0,0,,,湖南
2020-01-29,277,223,0,0,0,56,,0,0,,,湖南
2020-01-30,332,303,2,0,0,55,,2,0,,,湖南
2020-01-31,389,426,3,0,0,57,,1,0,,,湖南
2020-02-01,463,434,8,0,0,74,,5,0,,,湖南
2020-02-02,521,351,16,0,0,58,,8,0,,,湖南
2020-02-03,593,289,22,0,0,72,,6,0,,,湖南
2020-02-04,661,211,35,0,0,68,,13,0,,,湖南
2020-02-05,711,0,56,0,0,50,0.0,21,0,,,湖南
2020-02-06,772,183,91,0,0,61,122.0,35,0,,,湖南
2020-02-07,803,183,119,0,0,31,0.0,28,0,,,湖南
2020-02-08,838,0,159,1,0,35,,40,1,,,湖南
2020-02-09,879,0,186,1,0,41,,27,0,,,湖南
2020-02-10,912,0,213,1,0,33,,27,0,,,湖南
2020-02-11,946,0,263,2,0,34,,50,1,,,湖南
2020-02-12,968,0,312,2,0,22,,49,0,,,湖南
2020-02-13,988,0,352,2,0,20,,40,0,,,湖南
2020-02-14,1001,0,389,2,0,13,,37,0,,,湖南
2020-02-15,1004,0,430,3,0,3,,41,1,,,湖南
2020-02-16,1006,0,467,3,0,2,,37,0,,,湖南
2020-02-17,1007,0,501,4,0,1,,34,1,,,湖南
2020-02-18,1008,0,542,4,0,1,,41,0,,,湖南
2020-02-19,1010,0,578,4,0,2,,36,0,,,湖南
2020-02-20,1011,0,638,4,0,1,,60,0,,,湖南
2020-02-21,1013,0,669,4,0,2,,31,0,,,湖南
2020-02-22,1016,0,704,4,0,3,,35,0,,,湖南
2020-02-23,1016,0,721,4,0,0,,17,0,,,湖南
2020-02-24,1016,0,751,4,0,0,,30,0,,,湖南
2020-02-25,1016,0,779,4,0,0,,28,0,,,湖南
2020-02-26,1017,0,793,4,0,1,,14,0,,,湖南
2020-02-27,1017,0,820,4,0,0,,27,0,,,湖南
2020-02-28,1018,0,841,4,0,1,,21,0,,,湖南
2020-02-29,1018,0,853,4,0,0,,12,0,,,湖南
2020-03-01,1018,0,876,4,0,0,,23,0,,,湖南
2020-03-02,1018,0,892,4,0,0,,16,0,,,湖南
2020-03-03,1018,0,913,4,0,0,,21,0,,,湖南
2020-03-04,1018,0,933,4,0,0,,20,0,,,湖南
2020-03-05,1018,0,946,4,0,0,,13,0,,,湖南
2020-03-06,1018,0,959,4,0,0,,13,0,,,湖南
2020-03-07,1018,0,965,4,0,0,,6,0,,,湖南
2020-03-08,1018,0,979,4,0,0,,14,0,,,湖南
2020-03-09,1018,0,988,4,0,0,,9,0,,,湖南
2020-03-10,1018,0,995,4,0,0,,7,0,,,湖南
2020-03-11,1018,0,998,4,0,0,,3,0,,,湖南
2020-03-12,1018,0,1004,4,0,0,,6,0,,,湖南
2020-03-13,1018,0,1009,4,0,0,,5,0,,,湖南
2020-03-14,1018,0,1014,4,0,0,0.0,5,0,0.0,,湖南
2020-03-15,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-16,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-17,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-18,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-19,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-20,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-21,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-22,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-23,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-24,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-25,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-26,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-27,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-28,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-29,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-30,1018,0,1014,4,0,0,,0,0,,,湖南
2020-03-31,1018,0,1014,4,0,0,,0,0,,,湖南
2020-01-22,1,8,0,0,0,1,,0,0,,,安徽
2020-01-23,15,14,0,0,0,14,,0,0,,,安徽
2020-01-24,39,20,0,0,0,24,,0,0,,,安徽
2020-01-25,60,15,0,0,0,21,,0,0,,,安徽
2020-01-26,70,43,0,0,0,10,,0,0,,,安徽
2020-01-27,106,42,0,0,0,36,,0,0,,,安徽
2020-01-28,152,55,2,0,0,46,,2,0,,,安徽
2020-01-29,200,67,2,0,0,48,,0,0,,,安徽
2020-01-30,237,98,3,0,0,37,,1,0,,,安徽
2020-01-31,297,117,3,0,0,60,,0,0,,,安徽
2020-02-01,340,160,6,0,0,43,,3,0,,,安徽
2020-02-02,408,153,7,0,0,68,,1,0,,,安徽
2020-02-03,480,124,14,0,0,72,,7,0,,,安徽
2020-02-04,530,130,20,0,0,50,,6,0,,,安徽
2020-02-05,591,0,23,0,0,61,0.0,3,0,,,安徽
2020-02-06,665,141,34,0,0,74,78.0,11,0,,,安徽
2020-02-07,733,141,47,0,0,68,0.0,13,0,,,安徽
2020-02-08,779,0,59,1,0,46,,12,1,,,安徽
2020-02-09,830,0,73,3,0,51,,14,2,,,安徽
2020-02-10,860,0,88,4,0,30,,15,1,,,安徽
2020-02-11,889,0,108,4,0,29,,20,0,,,安徽
2020-02-12,910,0,128,5,0,21,,20,1,,,安徽
2020-02-13,934,0,166,6,0,24,,38,1,,,安徽
2020-02-14,950,0,198,6,0,16,,32,0,,,安徽
2020-02-15,962,0,232,6,0,12,,34,0,,,安徽
2020-02-16,973,0,266,6,0,11,,34,0,,,安徽
2020-02-17,982,0,293,6,0,9,,27,0,,,安徽
2020-02-18,986,0,361,6,0,4,,68,0,,,安徽
2020-02-19,987,0,424,6,0,1,,63,0,,,安徽
2020-02-20,988,0,500,6,0,1,,76,0,,,安徽
2020-02-21,989,0,567,6,0,1,,67,0,,,安徽
2020-02-22,989,0,620,6,0,0,,53,0,,,安徽
2020-02-23,989,0,648,6,0,0,,28,0,,,安徽
2020-02-24,989,0,692,6,0,0,,44,0,,,安徽
2020-02-25,989,0,727,6,0,0,,35,0,,,安徽
2020-02-26,989,0,764,6,0,0,,37,0,,,安徽
2020-02-27,990,0,814,6,0,1,,50,0,,,安徽
2020-02-28,990,0,842,6,0,0,,28,0,,,安徽
2020-02-29,990,0,868,6,0,0,,26,0,,,安徽
2020-03-01,990,0,888,6,0,0,,20,0,,,安徽
2020-03-02,990,0,917,6,0,0,,29,0,,,安徽
2020-03-03,990,0,941,6,0,0,,24,0,,,安徽
2020-03-04,990,0,956,6,0,0,,15,0,,,安徽
2020-03-05,990,0,970,6,0,0,,14,0,,,安徽
2020-03-06,990,0,979,6,0,0,,9,0,,,安徽
2020-03-07,990,0,981,6,0,0,,2,0,,,安徽
2020-03-08,990,0,984,6,0,0,,3,0,,,安徽
2020-03-09,990,0,984,6,0,0,,0,0,,,安徽
2020-03-10,990,0,984,6,0,0,,0,0,,,安徽
2020-03-11,990,0,984,6,0,0,,0,0,,,安徽
2020-03-12,990,0,984,6,0,0,,0,0,,,安徽
2020-03-13,990,0,984,6,0,0,,0,0,,,安徽
2020-03-14,990,0,984,6,0,0,,0,0,,,安徽
2020-03-15,990,0,984,6,0,0,,0,0,,,安徽
2020-03-16,990,0,984,6,0,0,,0,0,,,安徽
2020-03-17,990,0,984,6,0,0,,0,0,,,安徽
2020-03-18,990,0,984,6,0,0,0.0,0,0,0.0,,安徽
2020-03-19,990,0,984,6,0,0,,0,0,,,安徽
2020-03-20,990,0,984,6,0,0,,0,0,,,安徽
2020-03-21,990,0,984,6,0,0,,0,0,,,安徽
2020-03-22,990,0,984,6,0,0,,0,0,,,安徽
2020-03-23,990,0,984,6,0,0,,0,0,,,安徽
2020-03-24,990,0,984,6,0,0,,0,0,,,安徽
2020-03-25,990,0,984,6,0,0,,0,0,,,安徽
2020-03-26,990,0,984,6,0,0,,0,0,,,安徽
2020-03-27,990,0,984,6,0,0,,0,0,,,安徽
2020-03-28,990,0,984,6,0,0,,0,0,,,安徽
2020-03-29,990,0,984,6,0,0,,0,0,,,安徽
2020-03-30,990,0,984,6,0,0,,0,0,,,安徽
2020-01-23,7,17,0,0,0,7,,0,0,,,江西
2020-01-24,18,38,0,0,0,11,,0,0,,,江西
2020-01-25,36,30,0,0,0,18,,0,0,,,江西
2020-01-26,48,68,0,0,0,12,,0,0,,,江西
2020-01-27,72,88,0,0,0,24,,0,0,,,江西
2020-01-28,109,107,2,0,0,37,,2,0,,,江西
2020-01-29,162,123,3,0,0,53,,1,0,,,江西
2020-01-30,240,197,7,0,0,78,,4,0,,,江西
2020-01-31,286,260,9,0,0,46,,2,0,,,江西
2020-02-01,333,312,10,0,0,47,,1,0,,,江西
2020-02-02,391,359,18,0,0,58,,8,0,,,江西
2020-02-03,476,319,19,0,0,85,,1,0,,,江西
2020-02-04,548,343,27,0,0,72,,8,0,,,江西
2020-02-05,600,0,37,0,0,52,0.0,10,0,,,江西
2020-02-06,661,249,45,0,0,61,48.0,8,0,,,江西
2020-02-07,698,249,55,0,0,37,0.0,10,0,,,江西
2020-02-08,739,0,72,0,0,41,,17,0,,,江西
2020-02-09,772,0,102,1,0,33,,30,1,,,江西
2020-02-10,804,0,127,1,0,32,0.0,25,0,,,江西
2020-02-11,844,0,152,1,0,40,,25,0,,,江西
2020-02-12,872,0,170,1,0,28,,18,0,,,江西
2020-02-13,900,0,187,1,0,28,,17,0,,,江西
2020-02-14,912,0,210,1,0,12,0.0,23,0,,,江西
2020-02-15,925,0,239,1,0,13,,29,0,,,江西
2020-02-16,930,0,275,1,0,5,,36,0,,,江西
2020-02-17,933,0,310,1,0,3,,35,0,,,江西
2020-02-18,933,0,362,1,0,0,,52,0,,,江西
2020-02-19,934,0,432,1,0,1,,70,0,,,江西
2020-02-20,934,0,489,1,0,0,,57,0,,,江西
2020-02-21,934,0,544,1,0,0,,55,0,,,江西
2020-02-22,934,0,611,1,0,0,,67,0,,,江西
2020-02-23,934,0,645,1,0,0,,34,0,,,江西
2020-02-24,934,0,682,1,0,0,,37,0,,,江西
2020-02-25,934,0,719,1,0,0,,37,0,,,江西
2020-02-26,934,0,754,1,0,0,,35,0,,,江西
2020-02-27,935,0,790,1,0,1,,36,0,,,江西
2020-02-28,935,0,811,1,0,0,,21,0,,,江西
2020-02-29,935,0,831,1,0,0,,20,0,,,江西
2020-03-01,935,0,850,1,0,0,,19,0,,,江西
2020-03-02,935,0,870,1,0,0,,20,0,,,江西
2020-03-03,935,0,884,1,0,0,,14,0,,,江西
2020-03-04,935,0,901,1,0,0,,17,0,,,江西
2020-03-05,935,0,908,1,0,0,,7,0,,,江西
2020-03-06,935,0,916,1,0,0,,8,0,,,江西
2020-03-07,935,0,918,1,0,0,,2,0,,,江西
2020-03-08,935,0,923,1,0,0,,5,0,,,江西
2020-03-09,935,0,927,1,0,0,,4,0,,,江西
2020-03-10,935,0,932,1,0,0,,5,0,,,江西
2020-03-11,935,0,934,1,0,0,,2,0,,,江西
2020-03-12,935,0,934,1,0,0,,0,0,,,江西
2020-03-13,935,0,934,1,0,0,,0,0,,,江西
2020-03-14,935,0,934,1,0,0,,0,0,,,江西
2020-03-15,935,0,934,1,0,0,,0,0,,,江西
2020-03-16,935,0,934,1,0,0,,0,0,,,江西
2020-03-17,935,0,934,1,0,0,,0,0,,,江西
2020-03-18,935,0,934,1,0,0,,0,0,,,江西
2020-03-19,935,0,934,1,0,0,,0,0,,,江西
2020-03-20,935,0,934,1,0,0,,0,0,,,江西
2020-03-21,936,0,934,1,0,1,,0,0,,,江西
2020-03-22,936,0,934,1,0,0,,0,0,,,江西
2020-03-23,936,0,934,1,0,0,,0,0,,,江西
2020-03-24,936,0,934,1,0,0,,0,0,,,江西
2020-03-25,936,0,934,1,0,0,,0,0,,,江西
2020-03-26,936,0,934,1,0,0,,0,0,,,江西
2020-03-27,936,0,934,1,0,0,,0,0,,,江西
2020-03-28,937,0,934,1,0,1,,0,0,,,江西
2020-03-29,937,0,935,1,0,0,,1,0,,,江西
2020-03-30,937,0,935,1,0,0,,0,0,,,江西
2020-03-31,937,0,935,1,0,0,,0,0,,,江西
2020-01-22,2,5,0,0,0,2,,0,0,,,山东
2020-01-23,9,9,0,0,0,7,,0,0,,,山东
2020-01-24,21,11,0,0,0,12,,0,0,,,山东
2020-01-25,39,11,0,0,0,18,,0,0,,,山东
2020-01-26,61,35,0,0,0,22,,0,0,,,山东
2020-01-27,87,42,0,0,0,26,,0,0,,,山东
2020-01-28,121,55,1,0,0,34,,1,0,,,山东
2020-01-29,145,79,1,0,0,24,,0,0,,,山东
2020-01-30,178,90,2,0,0,33,,1,0,,,山东
2020-01-31,202,83,2,0,0,24,,0,0,,,山东
2020-02-01,225,81,5,0,0,23,,3,0,,,山东
2020-02-02,246,62,6,0,0,21,,1,0,,,山东
2020-02-03,270,70,7,0,0,24,,1,0,,,山东
2020-02-04,298,94,13,0,0,28,,6,0,,,山东
2020-02-05,343,0,18,0,0,45,0.0,5,0,,,山东
2020-02-06,379,96,31,0,0,36,48.0,13,0,,,山东
2020-02-07,407,96,38,0,0,28,0.0,7,0,,,山东
2020-02-08,435,0,50,1,0,28,,12,1,,,山东
2020-02-09,459,0,63,1,0,24,,13,0,,,山东
2020-02-10,486,0,71,1,0,27,,8,0,,,山东
2020-02-11,497,0,80,1,0,11,,9,0,,,山东
2020-02-12,506,0,98,2,0,9,0.0,18,1,,,山东
2020-02-13,519,0,111,2,0,13,,13,0,,,山东
2020-02-14,530,0,139,2,0,11,,28,0,,,山东
2020-02-15,537,0,164,2,0,7,,25,0,,,山东
2020-02-16,541,0,175,2,0,4,,11,0,,,山东
2020-02-17,543,0,193,2,0,2,,18,0,,,山东
2020-02-18,544,0,215,3,0,1,,22,1,,,山东
2020-02-19,546,0,238,4,0,2,,23,1,,,山东
2020-02-20,748,0,270,4,0,202,,32,0,,,山东
2020-02-21,750,0,293,4,0,2,,23,0,,,山东
2020-02-22,754,0,311,4,0,4,,18,0,,,山东
2020-02-23,755,0,327,4,0,1,,16,0,,,山东
2020-02-24,755,0,343,6,0,0,,16,2,,,山东
2020-02-25,756,0,357,6,0,1,,14,0,,,山东
2020-02-26,756,0,381,6,0,0,,24,0,,,山东
